feature,start_hour,window_label,center_hour,center_hour_mod,W_obs_full,W_boot_mean,W_boot_std,W_null_mean,W_null_std,W_t_stat,W_p_ttest,W_n_null_valid
EPS_z,22.5,022.5-001.5,24.0,0.0,0.04493987971894995,0.02641094708163006,0.07425296497753252,-0.02530003047757506,0.2959317625067609,3.356660088743415,0.0009449832633726906,200
EPS_KURT_z,22.5,022.5-001.5,24.0,0.0,0.13560862690263636,0.06238118558809104,0.07362098631157746,-0.012342552868450651,0.10150688753545326,20.612844121369786,2.864545765672099e-51,200
EPS_SKEW_z,22.5,022.5-001.5,24.0,0.0,-0.035746138546116024,-0.00865121843453697,0.06916496204449785,0.0061543740656924174,0.12245114643116602,-4.839176678457182,2.6096101913260986e-06,200
ACI_z,22.5,022.5-001.5,24.0,0.0,-0.015126669918207285,0.011782568372294142,0.06901061053179494,-0.005599695418751849,0.06888788701513608,-1.9558121361092369,0.05188699818576038,200
NDSI_z,22.5,022.5-001.5,24.0,0.0,0.1530792995338971,0.024227925646561465,0.09074654154232452,-0.007472078300112256,0.1863841836911536,12.182038813270822,7.192340520507352e-26,200
rBA_z,22.5,022.5-001.5,24.0,0.0,-0.02768876899829023,-0.008111884919626501,0.07487483105271603,-0.00531955720436897,0.07102555997047606,-4.4540082065821975,1.4041761996636992e-05,200
AnthroEnergy_z,22.5,022.5-001.5,24.0,0.0,-0.08221877973870034,0.007519898405252401,0.06695959358551284,-0.0018517799424262024,0.0698387749143391,-16.27406855554551,2.012799764789271e-38,200
BioEnergy_z,22.5,022.5-001.5,24.0,0.0,0.023807877223747245,0.015302166882615601,0.06903667783752164,0.0019940914158956035,0.06765380555508703,4.559884175480193,8.931798245798224e-06,200
BI_z,22.5,022.5-001.5,24.0,0.0,0.016673294775227276,-0.09670095684101206,0.10106137613256398,0.016544913759421694,0.2796912584501003,0.00649137819714454,0.9948271687035278,200
ROU_z,22.5,022.5-001.5,24.0,0.0,0.08295384977107552,0.002909370046186141,0.0686370382461777,-0.0060863499526054065,0.07028968249790316,17.914700076984285,2.260639054546878e-43,200
