window_label,start_hour,end_hour,center_hour,center_hour_mod,n_obs,n_zones,rho_obs,R2_obs,R2_boot_mean,R2_boot_std,R2_ci_low,R2_ci_high,p_perm_empirical,t_stat_perm,p_t_perm
016.5-019.5,16.5,19.5,18.0,18.0,9004,30,0.04764009154785791,0.0022695783226882823,0.00318399673764324,0.00218540629233277,0.000628317019965971,0.008703646758948367,0.3313373253493014,19.621632999908435,5.851339424676133e-64
017.0-020.0,17.0,20.0,18.5,18.5,8816,30,0.045137780015297335,0.0020374191847093753,0.002639983095576891,0.0022982198317644475,0.0001759369013195017,0.008165928620460393,0.35129740518962077,18.263570705390308,1.917226087882885e-57
017.5-020.5,17.5,20.5,19.0,19.0,8676,30,0.03383916511933698,0.0011450890959737528,0.001479094922203332,0.0013291579706349811,0.00015269443984748627,0.004579429985744349,0.47305389221556887,16.905844858965406,5.0487678929069216e-51
018.0-021.0,18.0,21.0,19.5,19.5,8595,30,0.013512774815535719,0.00018259508321537637,0.0005436220385500156,0.0007241491799594946,4.492000264812744e-06,0.0023091065063291353,0.7285429141716567,7.869316655513243,2.231417903234137e-14
018.5-021.5,18.5,21.5,20.0,20.0,8541,30,0.008418927139287172,7.087833417662608e-05,0.00044565267336835716,0.0007029637278382967,3.0495854828241025e-06,0.001965879446226143,0.8502994011976048,2.852805615645997,0.004513418393314904
019.0-022.0,19.0,22.0,20.5,20.5,8594,30,0.018263619683433856,0.0003335598039411126,0.00045725063578305476,0.0006547278807732595,5.706259937515442e-06,0.0019865162969560047,0.6866267465069861,8.22553320392047,1.6990976282787995e-15
019.5-022.5,19.5,22.5,21.0,21.0,8787,30,0.028835273403487377,0.0008314729922538665,0.0008910728219217553,0.0008154209226537642,2.5930261089941453e-05,0.0027802908966766053,0.5329341317365269,13.103890906551896,6.329919908770568e-34
020.0-023.0,20.0,23.0,21.5,21.5,8957,30,0.05226514434105185,0.0027316453129909847,0.0043964919025374595,0.003447432169893538,0.0006767881898908291,0.01372784898751608,0.2435129740518962,22.560676925928565,3.270311311665111e-78
020.5-023.5,20.5,23.5,22.0,22.0,9124,30,0.06600098068440605,0.0043561294513033404,0.0052963318680383335,0.003351069355218777,0.0010452107563788586,0.01220227944180162,0.1217564870259481,31.033979920171422,1.4341536150121132e-118
021.0-000.0,21.0,24.0,22.5,22.5,9208,30,0.08389380628717116,0.0070381707333494,0.008559150050259888,0.006363240591237202,0.0018190918921253644,0.023687224048221985,0.06187624750499002,38.72363335238696,1.836918790181468e-152
021.5-000.5,21.5,24.5,23.0,23.0,9284,30,0.11095007258764708,0.012309918607204156,0.015540137518642635,0.008781630018786854,0.0055704994847818,0.034270649612339374,0.031936127744510975,47.54110214058952,1.9869861525603987e-187
022.0-001.0,22.0,25.0,23.5,23.5,9251,30,0.13680692608280393,0.018716135024225776,0.0184906561797171,0.00882582339951999,0.0059174740774893455,0.03653418278668906,0.013972055888223553,60.91042342472452,3.32162422862138e-233
022.5-001.5,22.5,25.5,24.0,0.0,9158,30,0.15534260769524919,0.024131325765560093,0.02354757064190324,0.014298449419341464,0.006335377645316384,0.0565691685162836,0.005988023952095809,72.69543562838967,1.2003626631018195e-267
023.0-002.0,23.0,26.0,24.5,0.5,9038,30,0.16189220609649022,0.026209086394788465,0.028318170751668863,0.017028290449994894,0.010533791216145234,0.06782611075236308,0.00998003992015968,68.5895368033151,3.4221892599412564e-256
023.5-002.5,23.5,26.5,25.0,1.0,8931,30,0.16043499267295466,0.025739386873971017,0.026401416514327158,0.015033106666359946,0.010216390063718985,0.05995808736170265,0.007984031936127744,75.2452547600273,1.704957087081813e-274
